Item,Soil type,value,Location,Source,Commodity,Year,Unit
Receipts,Low,155.0,Ohio,Farmoffice,Corn,2012/2013,bu/acre
Corn Price,Low,829.25,Ohio,Farmoffice,Corn,2012/2013,$/acre
Seed Cost,Low,100.0,Ohio,Farmoffice,Corn,2012/2013,$/acre
Nitrogen (NH3),Low,91.8780487804878,Ohio,Farmoffice,Corn,2012/2013,$/acre
P205   (MAP),Low,38.04951923076923,Ohio,Farmoffice,Corn,2012/2013,$/acre
K20   (Potash),Low,21.97125,Ohio,Farmoffice,Corn,2012/2013,$/acre
Chemicals,Low,44.28,Ohio,Farmoffice,Corn,2012/2013,$/acre
Labor and Management,Low,82.99406,Ohio,Farmoffice,Corn,2012/2013,$/acre
Machinery Cost,Low,107.455515625,Ohio,Farmoffice,Corn,2012/2013,$/acre
Land Rent,Low,150.0,Ohio,Farmoffice,Corn,2012/2013,$/acre
Return to Variable Costs,Low,435.06412934556397,Ohio,Farmoffice,Corn,2012/2013,$/acre
Return to Land,Low,244.6145537205639,Ohio,Farmoffice,Corn,2012/2013,$/acre
Price,Low,5.35,Ohio,Farmoffice,Corn,2012/2013,$/bushel
Receipts,High,192.0,Ohio,Farmoffice,Corn,2012/2013,bu/acre
Corn Price,High,1027.1999999999998,Ohio,Farmoffice,Corn,2012/2013,$/acre
Seed Cost,High,106.25,Ohio,Farmoffice,Corn,2012/2013,$/acre
Nitrogen (NH3),High,107.79268292682927,Ohio,Farmoffice,Corn,2012/2013,$/acre
P205   (MAP),High,47.132307692307684,Ohio,Farmoffice,Corn,2012/2013,$/acre
K20   (Potash),High,27.216000000000005,Ohio,Farmoffice,Corn,2012/2013,$/acre
Chemicals,High,44.28,Ohio,Farmoffice,Corn,2012/2013,$/acre
Labor and Management,High,93.11392000000001,Ohio,Farmoffice,Corn,2012/2013,$/acre
Machinery Cost,High,107.455515625,Ohio,Farmoffice,Corn,2012/2013,$/acre
Land Rent,High,200.0,Ohio,Farmoffice,Corn,2012/2013,$/acre
Return to Variable Costs,High,594.6044306964081,Ohio,Farmoffice,Corn,2012/2013,$/acre
Return to Land,High,394.03499507140816,Ohio,Farmoffice,Corn,2012/2013,$/acre
Price,High,5.35,Ohio,Farmoffice,Corn,2012/2013,$/bushel
Receipts,Low,48.0,Ohio,Farmoffice,Soybean,2012/2013,bu/acre
Soybean Price,Low,651.84,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Seed Cost,Low,64.8,Ohio,Farmoffice,Soybean,2012/2013,$/acre
P205   (MAP),Low,25.47692307692308,Ohio,Farmoffice,Soybean,2012/2013,$/acre
K20   (Potash),Low,35.279999999999994,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Chemicals,Low,33.55,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Labor and Management,Low,60.623560000000005,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Machinery Cost,Low,85.09805468750001,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Land Rent,Low,150.0,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Return to Variable Costs,Low,442.6443612197485,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Return to Land,Low,296.9227465322484,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Price,Low,13.58,Ohio,Farmoffice,Soybean,2012/2013,$/bushel
Receipts,High,60.0,Ohio,Farmoffice,Soybean,2012/2013,bu/acre
Soybean Price,High,814.8,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Seed Cost,High,64.8,Ohio,Farmoffice,Soybean,2012/2013,$/acre
P205   (MAP),High,31.846153846153847,Ohio,Farmoffice,Soybean,2012/2013,$/acre
K20   (Potash),High,44.1,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Chemicals,High,33.55,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Labor and Management,High,68.99392,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Machinery Cost,High,85.09805468750001,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Land Rent,High,200.0,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Return to Variable Costs,High,594.0766535274406,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Return to Land,High,439.98467883994056,Ohio,Farmoffice,Soybean,2012/2013,$/acre
Price,High,13.58,Ohio,Farmoffice,Soybean,2012/2013,$/bushel
Receipts,Low,67.0,Ohio,Farmoffice,Wheat,2012/2013,bu/acre
Wheat Price,Low,425.45,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Seed Cost,Low,40.6,Ohio,Farmoffice,Wheat,2012/2013,$/acre
N (UAN),Low,28.00471153846154,Ohio,Farmoffice,Wheat,2012/2013,$/acre
P205   (MAP),Low,28.00471153846154,Ohio,Farmoffice,Wheat,2012/2013,$/acre
K20   (Potash),Low,23.51475,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Chemicals,Low,21.34,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Labor and Management,Low,48.2725,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Machinery Cost,Low,99.08061979166668,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Land Rent,Low,150.0,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Return to Variable Costs,Low,217.41682230635567,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Return to Land,Low,70.063702514689,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Price,Low,6.35,Ohio,Farmoffice,Wheat,2012/2013,$/bushel
Receipts,High,82.0,Ohio,Farmoffice,Wheat,2012/2013,bu/acre
Wheat Price,High,520.6999999999999,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Seed Cost,High,40.6,Ohio,Farmoffice,Wheat,2012/2013,$/acre
N (UAN),High,68.57142857142857,Ohio,Farmoffice,Wheat,2012/2013,$/acre
P205   (MAP),High,34.27442307692308,Ohio,Farmoffice,Wheat,2012/2013,$/acre
K20   (Potash),High,26.428500000000003,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Chemicals,High,21.34,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Labor and Management,High,53.035,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Machinery Cost,High,99.08061979166668,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Land Rent,High,200.0,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Return to Variable Costs,High,288.55335563968896,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Return to Land,High,136.43773584802227,Ohio,Farmoffice,Wheat,2012/2013,$/acre
Price,High,6.35,Ohio,Farmoffice,Wheat,2012/2013,$/bushel
Receipts,Low,155.0,Ohio,Farmoffice,Corn 2011 - May,24/25,bu/acre
Corn Price,Low,992.0,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Seed Cost,Low,92.0,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Nitrogen (NH3),Low,80.44512195121952,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
P205   (MAP),Low,39.97956730769231,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
K20   (Potash),Low,20.925,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Chemicals,Low,35.0,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Labor and Management,Low,91.13156000000001,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Return to Variable Costs,Low,636.223700044429,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Return to Land,Low,453.000568169429,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
"Return to Land, Labor, Management",Low,544.132128169429,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Return Above Total Costs,Low,323.000568169429,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
Price,Low,6.4,Ohio,Farmoffice,Corn 2011 - May,24/25,$/bushel
Receipts,High,192.0,Ohio,Farmoffice,Corn 2011 - May,24/25,bu/acre
Corn Price,High,1228.8000000000002,Ohio,Farmoffice,Corn 2011 - May,24/25,$/acre
